Source ID,Target ID,SourceName,TargeName,Source Name Change,Target Name Change,Source Cluster,Target Cluster,Source Jurisdiction,Target Jurisdiction,Source Type,Target Type
100,1,Joshua Lesher,NSO Group,Unchanged,Unchanged,Interionet,NSO Group,0,Israel,Individual,Vendor
101,1,David Fischler,NSO Group,Unchanged,Unchanged,Interionet,NSO Group,0,Israel,Individual,Vendor
144,58,Tal Dilian,WS Wispear Systems Limited > Passitora Ltd,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,0,Cyprus,Individual,Partner
145,58,Georgios Georgioy ,WS Wispear Systems Limited > Passitora Ltd,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,0,Cyprus,Individual,Partner
146,61,Rotem Farkash,Cytrox AD,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,North Macedonia,Individual,Vendor
147,61,Abraham Rubinstein,Cytrox AD,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,North Macedonia,Individual,Vendor
144,71,Tal Dilian,Aliada Group Inc.,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,British Virgin Islands,Individual,Investor
148,71,Individual,Aliada Group Inc.,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,British Virgin Islands,Individual,Investor
149,71,Individual,Aliada Group Inc.,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,British Virgin Islands,Individual,Investor
150,71,Individual,Aliada Group Inc.,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,British Virgin Islands,Individual,Investor
151,66,Individual,Cytrox Software Ltd > Peterbald Ltd,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,0,Israel,Individual,Holding Company
151,68,Individual,Cytrox EMEA Ltd > Balinese Ltd,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,0,Israel,Individual,Holding Company
152,75,Sara Hamou,Thalestris Limited,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,Ireland,Individual,Investor
71,58,Aliada Group Inc.,WS Wispear Systems Limited > Passitora Ltd,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,British Virgin Islands,Cyprus,Investor,Partner
73,63,Boss Industries SAS,Trovicor fz/Trovicor Intelligence,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,France,United Arab Emirates,Investor,Partner
73,59,Boss Industries SAS,Advanced Middle East Systems ,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,France,United Arab Emirates,Investor,Partner
73,57,Boss Industries SAS,Nexa Technologies > RB 42,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,France,France,Investor,Partner
57,60,Nexa Technologies > RB 42,Nexa Technologies CZ s.r.o. > Setco Technology Solutions Ltd,Changed,Changed,Intellexa Consortium,Intellexa Consortium,France,Czech Republic,Partner,Partner
152,144,Sara Hamou,Tal Dilian,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,0,Individual,Individual
62,144,Senpai Technologies Ltd,Tal Dilian,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,Israel,0,Partner,Individual
64,152,Intellexa S.A.,Sara Hamou,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,Greece,0,Vendor,Individual
64,144,Intellexa S.A.,Tal Dilian,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,Greece,0,Vendor,Individual
144,6,Tal Dilian,Circles Solutions (Cyprus),Unchanged,Unchanged,Intellexa Consortium,NSO Group,0,Cyprus,Individual,Subsidiary
153,64,Intellexa Ltd (British Virgin Islands),Intellexa S.A.,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,Greece,Holding Company,Vendor
154,64,Intellexa Ltd (Ireland),Intellexa S.A.,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,Greece,Holding Company,Vendor
154,152,Intellexa Ltd (Ireland),Sara Hamou,Unchanged,Unchanged,Intellexa Consortium,Intellexa Consortium,0,0,Holding Company,Individual
155,30,David Vincenzetti,Hacking Team Srl (Italy) > Memento Labs Srl,Unchanged,Changed,Memento Labs Srl,Memento Labs Srl,0,Italy,Individual,Vendor
156,30,Valeriano Bedeschi,Hacking Team Srl (Italy) > Memento Labs Srl,Unchanged,Changed,Memento Labs Srl,Memento Labs Srl,0,Italy,Individual,Vendor
157,34,Individual,Qavar,Unchanged,Unchanged,Memento Labs Srl,Memento Labs Srl,0,Singapore,Individual,Partner
158,35,Individual,VASTech,Unchanged,Unchanged,VasTech,VasTech,0,South Africa,Individual,Supplier
159,30,Individual,Hacking Team Srl (Italy) > Memento Labs Srl,Unchanged,Changed,Memento Labs Srl,Memento Labs Srl,0,Italy,Individual,Vendor
160,30,Individual,Hacking Team Srl (Italy) > Memento Labs Srl,Unchanged,Changed,Memento Labs Srl,Memento Labs Srl,0,Italy,Individual,Vendor
161,33,Individual,Grey Heron (Italy),Unchanged,Unchanged,Memento Labs Srl,Memento Labs Srl,0,Italy,Individual,Vendor
162,38,Abdullah Al-Qahtani,Tablem Limited,Unchanged,Unchanged,Memento Labs Srl,Memento Labs Srl,0,Cyprus,Individual,Investor
163,38,Khalid Al-Thebity,Tablem Limited,Unchanged,Unchanged,Memento Labs Srl,Memento Labs Srl,0,Cyprus,Individual,Investor
164,39,Paulo Lezzi,InTheCyber Group fSA (Switzerland),Unchanged,Unchanged,Memento Labs Srl,Memento Labs Srl,0,Switzerland,Individual,Investor
164,30,Paulo Lezzi,Hacking Team Srl (Italy) > Memento Labs Srl,Unchanged,Changed,Memento Labs Srl,Memento Labs Srl,0,Italy,Individual,Vendor
165,57,Serpikom SAS ,Nexa Technologies > RB 42,Unchanged,Changed,Intellexa Consortium,Intellexa Consortium,France,France,Partner,Partner
35,166,VASTech,VASTech ME,Unchanged,Unchanged,VasTech,VasTech,South Africa,United Arab Emirates,Supplier,Partner
35,167,VASTech,VASTech SPC,Unchanged,Unchanged,VasTech,VasTech,South Africa,Oman,Supplier,Partner
35,168,VASTech,VASTech AG,Unchanged,Unchanged,VasTech,VasTech,South Africa,Switzerland,Supplier,Partner
35,169,VASTech,Individual,Unchanged,Unchanged,VasTech,VasTech,South Africa,0,Supplier,Individual
35,170,VASTech,Frans Dreyer ,Unchanged,Unchanged,VasTech,VasTech,South Africa,0,Supplier,Individual
168,171,VASTech AG,Peter Habertheuer ,Unchanged,Unchanged,VasTech,VasTech,Switzerland,0,Partner,Individual
