ID,Type,Name,Jursidiction,Region,Cluster,Jurisdiction Groups,Year Start,Year End,Name Status,Name Change Year,Number of name changes,Additional types,Central node,Note,Source,Source 2,Source 3,Longitude,Latitude
14,Investor,Francisco Partners Management LLC,United States,North America,NSO Group,Israel,2014,2019,Unchanged,,,,NSO Group,"Private equity firm that invested in NSO that is headquartered in San Francisco, USA. ",https://www.reuters.com/article/idUSL5N209642/,,,-77.032,38.8895
15,Investor,Jefferies Group LLC ,United States,North America,NSO Group,Israel,2018,2021,Unchanged,,,,NSO Group,"Investment bank based in New York, USA. Debt payment for NSO",https://www.businesswire.com/news/home/20221103005752/en/NOAL-GP-Luxembourg-Judge-Rejects-Novalpina%E2%80%99s-Attempt-to-Interfere-With-Decision-making-at-NOAL-Fund-Confirms-Existence-of-Criminal-Complaint-Against-Novalpina-Personnel-and-Key-Advisor,https://www.theguardian.com/business/2021/mar/30/financiers-behind-nso-group-struggle-control-equity-fund,,-77.032,38.8895
16,Investor,Novalpina Capital,United Kingdom,Europe and Eurasia,NSO Group,Israel,2019,2022,Unchanged,,,,NSO Group,European private equity firm that invested NSO Group ,https://www.ft.com/content/d88518dd-7c66-48b2-b3e5-c765ebe720ab,,,-0.126236,51.5002
17,Investor,Berkely Research Group ,United States,North America,NSO Group,Israel,2021,2022,Unchanged,,,,NSO Group,US consultant firm that invested in NSO Group 2021,https://www.theguardian.com/news/2021/jul/31/nso-group-israeli-spyware-company-berkeley-research-group,,,-77.032,38.8895
19,Investor,Blackstone Group LP,United States,North America,NSO Group,Israel,2017,2017,Unchanged,,,,NSO Group,Potential investor in NSO Group,https://www.reuters.com/article/idUSKCN1AV234/,,,-77.032,38.8895
21,Vendor,Candiru Ltd > DF Associates > Grindavik Solutions Ltd./Greenwick Solutions Ltd. > Taveta Ltd./Tabatha Ltd. > Saito Tech Ltd.  ,Israel,Middle East and North Africa,Candiru Ltd,Israel,2014,2023,Changed,2017; 2018; 2019; 2020,4,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,Spyware Vendor Candiru,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=8,"https://www.northdata.com/Saito+Tech+Ltd.,+Tel+Aviv+-+Yafo/ICA-515126605",35.2035,31.7717
22,Subsidiary,Sokoto Ltd,Israel,Middle East and North Africa,Candiru Ltd,Israel,2020,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,"Subsidary of Candiru, unclear what they do. Hebrew name: סוקוטו בע""מ",https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=8,"https://www.northdata.com/Sokoto+Ltd.,+Tel+Aviv+-+Yafo/ICA-515996981",,35.2035,31.7717
23,Investor,Qatar Investment Authority,Qatar,Middle East and North Africa,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://dimse.info/candiru/,,,51.5082,25.2948
24,Investor,Optas Industry Ltd. ESOP,Israel,Middle East and North Africa,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,35.2035,31.7717
25,Investor,Optas Industry Ltd,Malta,Europe and Eurasia,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,14.5189,35.9042
26,Investor,Ibn Hemdat Trusts 1992 Ltd,Israel,Middle East and North Africa,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://en.checkid.co.il/company/SAITO+TECH++LTD-rMe81mK-515126605,,,35.2035,31.7717
27,Investor,IBI Trust Management,Israel,Middle East and North Africa,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://en.checkid.co.il/company/SAITO+TECH++LTD-rMe81mK-515126605,,,35.2035,31.7717
28,Investor,Founders Group,United States,North America,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://www.forbes.com/sites/thomasbrewster/2019/10/03/meet-candiru-the-super-stealth-cyber-mercenaries-hacking-apple-and-microsoft-pcs-for-profit/?sh=4825751d5a39,,,-77.032,38.8895
29,Investor,ESOP management and trust services,Israel,Middle East and North Africa,Candiru Ltd,Israel,2014,2023,Unchanged,,,,Candiru > DF Associates > Grindavik Solutions Ltd. > Taveta Ltd. > Saito Tech Ltd. ,,https://citizenlab.ca/2021/07/hooking-candiru-another-mercenary-spyware-vendor-comes-into-focus/,,,35.2035,31.7717
30,Vendor,Hacking Team Srl (Italy) > Memento Labs Srl,Italy,Europe and Eurasia,Memento Labs Srl,Italy,2003,2023,Changed,2019,1,,Hacking Team (Italy) > Memento Labs ,Spyware named RCS then when Memento spyware named Dante.,https://www.crunchbase.com/organization/hackingteam,https://www.vice.com/en/article/xgq3qd/memento-labs-the-reborn-hacking-team-is-struggling,"https://www.intelligenceonline.com/surveillance--interception/2023/01/19/memento-labs-tries-to-get-back-into-uae-market-through-local-distributor-sat,109903859-art",12.4823,41.8955
31,Vendor,Hacking Team (United States),United States,North America,Memento Labs Srl,Italy,2011,2015,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://www.theverge.com/2013/9/13/4723610/meet-hacking-team-the-company-that-helps-police-hack-into-computers,,,-77.032,38.8895
32,Vendor,Grey Heron (United Kingdom),United Kingdom,Europe and Eurasia,Memento Labs Srl,Italy,2016,2017,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,"Rabe, a spokesperson of Hacking Team advertising a new company at UK security event. Company particularly targets signal/telegram users; potentially a rebrand of Hacking Team ",https://find-and-update.company-information.service.gov.uk/company/09274444/filing-history,,,-0.126236,51.5002
33,Vendor,Grey Heron (Italy),Italy,Europe and Eurasia,Memento Labs Srl,Italy,2017,2018,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,"Rabe, a spokesperson of Hacking Team advertising a new company at UK security event. Company particularly targets signal/telegram users; potentially a rebrand of Hacking Team ",https://www.vice.com/en/article/bj54kw/grey-heron-new-spyware-brochure-hacking-team,,,12.4823,41.8955
34,Partner,Qavar,Singapore,East Asia and Pacific,Memento Labs Srl,Italy,2014,2014,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,Entered a consultant agreement with Hacking Team,https://wikileaks.org/hackingteam/emails/emailid/149645,https://tsyrklevich.net/2015/07/22/hacking-team-0day-market/,,103.85,1.28941
35,Supplier,VASTech,South Africa,Sub-Saharan Africa,VasTech,Italy,1999,2023,Unchanged,,,,VASTech,Hacking Team seeks to form strategic partnership was VasTech,https://wikileaks.org/hackingteam/emails/emailid/170245,,,28.1871,-25.746
36,Investor,Fondo Next,Italy,Europe and Eurasia,Memento Labs Srl,Italy,2007,2007,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://espresso.repubblica.it/attualita/cronaca/2011/12/02/news/noi-i-padri-del-cyber-007-br-1.37951,,,12.4823,41.8955
37,Investor,Innogest Capital,Italy,Europe and Eurasia,Memento Labs Srl,Italy,2007,2007,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://espresso.repubblica.it/attualita/cronaca/2011/12/02/news/noi-i-padri-del-cyber-007-br-1.37951,,,12.4823,41.8955
38,Investor,Tablem Limited,Cyprus,Europe and Eurasia,Memento Labs Srl,Italy,2016,2016,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,"Tablem Limited took control of 20 percent of the equity of Hacking Team as of 2016, equivalent to around 44,000 euros (about $55,000) of the company’s total nominal share value, which at the time was 223,572 euros (around $280,000).",https://www.vice.com/en/article/8xvzyp/hacking-team-investor-saudi-arabia,,,33.3736,35.1676
39,Investor,InTheCyber Group fSA (Switzerland),Switzerland,Europe and Eurasia,Memento Labs Srl,Italy,2019,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,"Paulo Lezzi, President of Memento Labs, CEO and founder of InTheCyber; important to Lezzi that this remain ""an Italian company with Italian talent""",https://opencorporates.com/companies/ch/1231005,https://www.technologyreview.com/2019/11/29/131803/the-fall-and-rise-of-a-spyware-empire/,"https://www.northdata.com/InTheCyber+Group+SA,+Lugano/CHE-302.340.158",,
40,Investor,InTheCyber (Italy),Italy,Europe and Eurasia,Memento Labs Srl,Italy,2019,2023,Unchanged,,,,Hacking Team (Italy) > Memento Labs ,,https://www.technologyreview.com/2019/11/29/131803/the-fall-and-rise-of-a-spyware-empire/,,,12.4823,41.8955
41,Vendor,Gamma Group International SAL ,Lebanon ,,Gamma Group,None,2007,2007,Unchanged,,,,Gamma Group International SAL ,,https://www.burojansen.nl/politie/gamma-group-louthean-nelson-arms-dealers-to-the-core-english-translation-of-article-from-observant-69/,,,35.5134,33.8872
42,Supplier,Elaman ,Germany,Europe and Eurasia,Gamma Group,None,2007,2021,Unchanged,,,,Gamma Group International SAL ,Supplier to Gamma Group. ,https://www.unternehmensregister.de/ureg/result.html;jsessionid=BC1D252B94E4E2A2DEDBAD79A18CA9F2.web01-1,,,13.4115,52.5235
43,Vendor,Gamma International GmbH > FinFisher Labs Gmbh,Germany,Europe and Eurasia,Gamma Group,None,2008,2022,Changed,2012,1,,Gamma Group International SAL ,Name change of Gamma International GmBh to FinFisher Labs. First registration of FinFisher Labs in De,https://www.unternehmensregister.de/ureg/result.html;jsessionid=2CE9A44CC510664B092335CAB20306B5.web01-1?submitaction=pathnav&page.1=page,,,13.4115,52.5235
44,Subsidiary,Raedarius m8 GmbH,Germany,Europe and Eurasia,Gamma Group,None,2015,2021,Unchanged,,,,Gamma Group International SAL ,,"https://www.northdata.com/raedarius+m8+GmbH,+München/HRB+198816",,,13.4115,52.5235
45,Subsidiary,So m8 Gmbh,Germany,Europe and Eurasia,Gamma Group,None,2017,2020,Unchanged,,,,Gamma Group International SAL ,,"https://www.northdata.com/raedarius+m8+GmbH,+München/HRB+198816",,,13.4115,52.5235
46,Vendor,BellTroX Infotech Services Private Ltd,India,South Asia,BellTrox,India,2013,2023,Unchanged,,,Partner CyberRoot,BellTroX Infotech Services Private Ltd,Full name Belletrox Infotech services private limited,https://www.reuters.com/investigates/special-report/usa-hackers-litigation/,https://www.reuters.com/article/us-india-cyber-mercenaries-exclusive-idUSKBN23G1GQ/,,77.225,28.6353
47,Holding Company,Trophy Investments Limited > Gamma 2000,United Kingdom,Europe and Eurasia,Gamma Group,None,1998,2021,Changed,2000,1,,Gamma Group International SAL ,Same people as Gamma Group. (Due to name change from Trophy to Gamma 2000),https://find-and-update.company-information.service.gov.uk/company/03684793,,,-0.126236,51.5002
48,Holding Company,Technical Surveillance Equiptment Limited > Gamma T S E Limited > Global T S E Limited,United Kingdom,Europe and Eurasia,Gamma Group,None,1999,2023,Changed,2006; 2023,2,,Gamma Group International SAL ,,https://find-and-update.company-information.service.gov.uk/company/03821494/filing-history?page=4,,,-0.126236,51.5002
49,Holding Company,Computplus Limited,United Kingdom,Europe and Eurasia,Gamma Group,None,1999,2021,Unchanged,,,,Gamma Group International SAL ,,https://find-and-update.company-information.service.gov.uk/company/03820884,,,-0.126236,51.5002
50,Holding Company,B N Management Security Systems Limited > Axciton Europe Limited > Gamma Tema Consultants Limited > G2 SYSTEMS LIMITED,United Kingdom,Europe and Eurasia,Gamma Group,None,2000,2021,Changed,2002; 2004; 2006,3,,Gamma Group International SAL ,,https://find-and-update.company-information.service.gov.uk/company/04027614/filing-history?page=3,,,-0.126236,51.5002
51,Holding Company,GTSC LTD,Cyprus,Europe and Eurasia,Gamma Group,None,2006,2023,Unchanged,,,,Gamma Group International SAL ,,https://opencorporates.com/companies/cy/HE184042,,https://www.burojansen.nl/politie/gamma-group-louthean-nelson-arms-dealers-to-the-core-english-translation-of-article-from-observant-69/,33.3736,35.1676
52,Holding Company,Gamma International (UK) Limited,United Kingdom,Europe and Eurasia,Gamma Group,None,2007,2021,Unchanged,,,,Gamma Group International SAL ,,https://find-and-update.company-information.service.gov.uk/company/06343869/filing-history?page=2,,,-0.126236,51.5002
53,Holding Company,Gamma Group International Limited > Mindstone International LTD,British Virgin Islands,Latin America and Caribbean,Gamma Group,None,2007,2023,Changed,2019,1,,Gamma Group International SAL ,,https://offshoreleaks.icij.org/nodes/164771,,,-64.623056,18.431389
54,Holding Company,FinFisher Limited ,United Kingdom,Europe and Eurasia,Gamma Group,None,2010,2014,Unchanged,,,,Gamma Group International SAL ,,https://find-and-update.company-information.service.gov.uk/company/07346435/filing-history,,,-0.126236,51.5002
55,Holding Company,FinFisher Holding GmbH > Vilicius Holdings GmbH,Germany,Europe and Eurasia,Gamma Group,None,2017,2021,Changed,2018,1,,Gamma Group International SAL ,,https://www.unternehmensregister.de/ureg/result.html;jsessionid=2CE9A44CC510664B092335CAB20306B5.web01-1?submitaction=pathnav&page.2=page,,,13.4115,52.5235
56,Investor,AURELIUS Gamma International GmbH,Germany,Europe and Eurasia,Gamma Group,None,2014,2021,Unchanged,,,,Gamma Group International SAL ,,https://www.unternehmensregister.de/ureg/result.html;jsessionid=2CE9A44CC510664B092335CAB20306B5.web01-1,,,13.4115,52.5235
57,Partner,Nexa Technologies > RB 42,France,Europe and Eurasia,Intellexa Consortium,None,2012,2023,Changed,2023,1,,Nexa Technologies > RB 42,"Partner in Nexa Group. In ""alliance"" with Intellexa Group.",https://data.inpi.fr/entreprises/751230681?q=751230681#751230681,,https://opencorporates.com/companies/fr/751230681,2.35097,48.8566
58,Partner,WS Wispear Systems Limited > Passitora Ltd,Cyprus,Europe and Eurasia,Intellexa Consortium,None,2013,2023,Changed,2020,1,Investor Intellexa,Intellexa S.A.,Partner in Intellexa Group. Specializes in intercepting target Wi-Fi signals and extracting passwords and communications at long range. Investor in Cytrox. Founded by Tal Dilian. ,https://opencorporates.com/companies/cy/HE318328/events,"https://cyberscoop.com/wispear-wifi-interception-israel-unit-8200/#:~:text=WiSpear%2C%20launched%20in%202016%20by,passwords%20and%20other%20communications%20%E2%80%94%20at%20%E2%80%9C",,33.3736,35.1676
59,Partner,Advanced Middle East Systems ,United Arab Emirates,Middle East and North Africa,Intellexa Consortium,None,2013,2023,Unchanged,,,,Nexa Technologies > RB 42,Sales branch of Nexa products.,https://s3.documentcloud.org/documents/21116576/project-cerebro-nexa-technologies.pdf,,,54.3705,24.4764
60,Partner,Nexa Technologies CZ s.r.o. > Setco Technology Solutions Ltd,Czech Republic,Europe and Eurasia,Intellexa Consortium,None,2015,2023,Changed,2022,1,,Nexa Technologies > RB 42,Branch of Nexa Technologies in Czech Republic.,https://www.amnesty.org/en/documents/act10/7245/2023/en/,,,14.4205,50.0878
61,Vendor,Cytrox AD,North Macedonia,Europe and Eurasia,Intellexa Consortium,None,2017,2023,Unchanged,,,,Intellexa S.A.,Spyware named Predator.,https://home.treasury.gov/news/press-releases/jy2155,,,21.4361,42.0024
62,Partner,Senpai Technologies Ltd,Israel,Middle East and North Africa,Intellexa Consortium,None,2018,2023,Unchanged,,,,Intellexa S.A.,"Senpai Technologies Ltd is an Israel-based company, specializing in open-source intelligence and in analyzing data from phones infected by spyware",https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf," https://www.calcalistech.com/ctech/articles/0,7340,L-3772040,00.html",,35.2035,31.7717
63,Partner,Trovicor fz/Trovicor Intelligence,United Arab Emirates,Middle East and North Africa,Intellexa Consortium,None,2019,2023,Unchanged,,,,Nexa Technologies > RB 42,"Trovicor fz/Trovicor Intelligence, a competing company in the interception technology space",https://www.amnesty.org/en/documents/act10/7245/2023/en/,,,54.3705,24.4764
64,Vendor,Intellexa S.A.,Greece,Europe and Eurasia,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,Intellexa S.A. is a Greece-based software development company within the Intellexa Consortium and has exported its surveillance tools to authoritarian regimes.,https://home.treasury.gov/news/press-releases/jy2155,,,23.7166,37.9792
65,Investor,Israel Aerospace Industries (IAI),Israel,Middle East and North Africa,Intellexa Consortium,None,2017,2019,Unchanged,,,,Intellexa S.A.,Israel Aerospace Industries (IAI) announces investment in Cytrox; buys a 30% stake in the company ,https://www.iai.co.il/iai-invests-two-cyber-companies-holland-and-hungary,https://www.haaretz.com/israel-news/security-aviation/2023-06-28/ty-article/israel-invested-in-spyware-that-brought-down-greek-spymaster/00000188-dd36-d5fc-ab9d-df7edbf20000,"https://www.intelligenceonline.com/corporate-intelligence/2017/07/05/cytrox-and-inpedio-iai-s-new-cyber-stars,108252955-bre",35.2035,31.7717
66,Holding Company,Cytrox Software Ltd > Peterbald Ltd,Israel,Middle East and North Africa,Intellexa Consortium,None,2017,2023,Changed,2019,1,,Intellexa S.A.,"Cytrox Software Ltd. changed the comapany name to Peterbald Ltd (Hebrew names: Cytrox  'סיטרוקס תוכנה בע""מ' to Peterbald: 'פטרבולד בע""מ') ",https://opencorporates.com/companies/il/515693893/events,https://citizenlab.ca/2021/12/pegasus-vs-predator-dissidents-doubly-infected-iphone-reveals-cytrox-mercenary-spyware/,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,35.2035,31.7717
67,Holding Company,Cytrox Holdings Zrt,Hungary,Europe and Eurasia,Intellexa Consortium,None,2017,2023,Unchanged,,,,Intellexa S.A.,Cytrox Holdings Zartkoruen Mukodo Reszvenytarsasag,https://home.treasury.gov/news/press-releases/jy2155,,,19.0408,47.4984
68,Holding Company,Cytrox EMEA Ltd > Balinese Ltd,Israel,Middle East and North Africa,Intellexa Consortium,None,2017,2023,Changed,2019,1,,Intellexa S.A.,Renamed from Cytrox EMEA Ltd,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,,,35.2035,31.7717
70,Investor,Atooro Fund,Israel,Middle East and North Africa,Intellexa Consortium,None,2018,2018,Unchanged,,,,Intellexa S.A.,,"https://www.intelligenceonline.com/surveillance--interception/2019/03/12/with-atooro-engel-aims-to-turn-cyber-intelligence-into-a-goldmine,108348650-art",,,35.2035,31.7717
71,Investor,Aliada Group Inc.,British Virgin Islands,Latin America and Caribbean,Intellexa Consortium,None,2018,2023,Unchanged,,,,Intellexa S.A.,Owner of WS Wispear Systems Limited  which is the majority stakeholder of Cytrox; Tal Dilian is also a shareholder,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,https://www.haaretz.com/israel-news/tech-news/2020-12-31/ty-article-magazine/.highlight/a-shady-israeli-intel-genius-his-cyber-spy-van-and-million-dollar-deals/0000017f-f21e-d497-a1ff-f29ed7c30000?lts=1700832007300,https://www.europarl.europa.eu/meetdocs/2014_2019/plmrep/COMMITTEES/PEGA/DV/2023/05-08/REPORTcompromises_EN.pdf,-64.623056,18.431389
72,Investor,Plath,Germany,Europe and Eurasia,Intellexa Consortium,None,2019,2019,Unchanged,,,,Intellexa S.A.,,"https://www.intelligenceonline.com/surveillance--interception/2019/12/03/france-s-nexa-acquires-european-interception-specialist-trovicor,108384645-art",https://readwrite.com/european-investors-fund-spyware/,https://www.spiegel.de/international/business/the-predator-files-european-spyware-consortium-supplied-despots-and-dictators-a-2fd8043f-c5c1-4b05-b5a6-e8f8b9949978,13.4115,52.5235
73,Investor,Boss Industries SAS,France,Europe and Eurasia,Intellexa Consortium,None,2019,2022,Unchanged,,,,Intellexa S.A.,,"https://www.intelligenceonline.com/corporate-intelligence/2020/12/16/nexa-parts-company-with-plath-becomes-own-boss,109666086-art",https://opencorporates.com/companies/fr/853120541,,2.35097,48.8566
74,Investor,Miros Development Group,British Virgin Islands,Latin America and Caribbean,Intellexa Consortium,None,2021,2023,Unchanged,,,,Intellexa S.A.,,https://www.ieidiseis.gr/politiki/167144/ta-porismata-syriza-pasok-gia-tis-ypoklopes-kai-skandalo-kai-sygkalypsi.,,,-64.623056,18.431389
75,Investor,Thalestris Limited,Ireland,Europe and Eurasia,Intellexa Consortium,None,2020,2023,Unchanged,,,,Intellexa S.A.,,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/738330/IPOL_STU(2022)738330_EN.pdf,https://www.irishtimes.com/business/economy/2023/02/10/shady-business-ireland-accused-of-facilitating-tax-avoidance-by-spyware-group/,,-6.26749,53.3441
76,Vendor,Quadream Inc,Israel,Middle East and North Africa,Quadream Inc; InReach Technologies Limited,Israel,2016,2023,Unchanged,,,,Quadream,"Former NSO employees founded it; named Kvader Ltd in Israel; Name in Hebrew: קוודרים בע""מ",https://ica.justice.gov.il/GenericCorporarionInfo/SearchCorporation?unit=8,https://opencorporates.com/companies/il/515397651,,35.2035,31.7717
77,Supplier,InReach Technologies Limited,Cyprus,Europe and Eurasia,Quadream Inc; InReach Technologies Limited,Israel,2017,2020,Unchanged,,,,Quadream,Founders of InReach; Consortium agreement for Quadream to sell spyware outside of Israel to EU,https://cyprusregistry.com/companies/HE/373827,https://citizenlab.ca/2023/04/spyware-vendor-quadream-exploits-victims-customers/,,33.3736,35.1676
78,Holding Company,A.I.L Nominee Services Ltd (A.I.L),Cyprus,Europe and Eurasia,Quadream Inc; InReach Technologies Limited,Israel,2010,2021,Unchanged,,,,Quadream,,https://citizenlab.ca/2023/04/spyware-vendor-quadream-exploits-victims-customers/,,,33.3736,35.1676
79,Holding Company,DW Ventures,Israel,Middle East and North Africa,Quadream Inc; InReach Technologies Limited,Israel,2016,2022,Unchanged,,,,Quadream,Majority shareholder in Quadream. Alt name Square LTD and Quadream LTD,https://en.checkid.co.il/company/QUADREAM+LTD-0O3P698-515397651,,,35.2035,31.7717
80,Holding Company,Zovisel > Cycotech Ltd,Cyprus,Europe and Eurasia,Quadream Inc; InReach Technologies Limited,Israel,2017,2021,Changed,2018,1,,Quadream,Name change from Zovisel; Roy is the sole shareholder in InReach and lives in the United States ,https://citizenlab.ca/2023/04/spyware-vendor-quadream-exploits-victims-customers/,,,33.3736,35.1676
81,Individual,Niv Karmi,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,"Former Mossad intelligence operative Niv; Niv tech, Shalev and Omrie business, Eddy Shalev investor ",https://www.vice.com/en/article/wnxpjm/nso-group-new-big-player-in-government-spyware,,,,
82,Individual,Omri Lavie,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,"Former Mossad intelligence operative Niv; Niv tech, Shalev and Omrie business, Eddy Shalev investor ",https://www.vice.com/en/article/wnxpjm/nso-group-new-big-player-in-government-spyware,,,,
83,Individual,Shalev Hulio ,,,NSO Group,Israel,2010,2023,Unchanged,,,,NSO Group,"Former Mossad intelligence operative Niv; Niv tech, Shalev and Omrie business, Eddy Shalev investor ",https://www.vice.com/en/article/wnxpjm/nso-group-new-big-player-in-government-spyware,,,,
